screen_time_hours,work_hours,sleep_hours,break_frequency,typing_speed_wpm,backspace_rate,pause_frequency,app_switch_rate,usage_type,focus_session_count,hydration_level,physical_activity,sleep_quality,stress_level,work_life_balance,anxiety_level,motivation_level,peak_activity_hour,late_night_activity,social_screen_time,work_screen_time,detox_days_per_week,screen_free_hours,weekend_screen_increase,weekend_work_decrease,cognitive_load_score,burnout_level,work_intensity,screen_efficiency,sleep_deficit,sleep_quality_ratio,sleep_debt,typing_efficiency,cognitive_strain,focus_productivity,digital_balance,work_life_ratio,wellness_score,mental_health_index,stress_burnout_risk,night_owl_score,early_bird_score,social_work_ratio
7.92,7.56,7.23,5,79.5,5.06,3.7,15.52,2,4,5,86.9,7.6,3.0,9.5,2.2,6.9,21,1.6,1.43,6.49,2,4.5,-1.0,5.0,14.2,0,1.26,0.8092269326683292,0.7699999999999996,0.76,-0.46199999999999947,13.118811881188119,12.46,19.249394673123486,0.85,0.4934189056891113,6.61388888888889,8.066666666666666,7.73,0.4,0.0,0.21699544764795145
7.49,6.16,7.21,4,93.8,0.0,1.02,8.26,2,5,4,47.8,9.6,2.4,9.5,1.0,6.6,21,1.7,2.24,5.25,3,4.3,1.4,2.5,0.0,0,1.232,0.691699604743083,0.79,0.96,-2.054,93.8,2.04,50.64794816414687,1.03,0.3851604835348062,5.861111111111111,8.366666666666667,2.2199999999999998,0.425,0.0,0.4186915887850468
6.89,5.7,7.95,5,56.5,0.0,2.3,9.83,2,7,5,28.8,8.3,4.9,10.0,1.4,8.7,9,1.0,1.02,5.87,3,5.4,1.8,3.1,19.7,0,0.9500000000000001,0.8397711015736767,0.04999999999999982,0.8300000000000001,-0.06499999999999981,56.5,4.6,36.51892890120037,1.1400000000000001,0.36608863198458574,5.233333333333333,9.1,4.75,0.25,8.3,0.17085427135678394
6.82,5.77,7.72,5,73.5,3.64,4.27,16.77,0,4,5,53.8,6.7,4.8,10.0,2.2,6.1,9,1.9,1.79,5.03,3,4.9,1.2,1.1,26.5,0,0.9616666666666666,0.726878612716763,0.28000000000000025,0.67,0.08400000000000002,15.840517241379308,12.18,16.54473832301632,1.09,0.37508125677139753,5.394444444444445,7.966666666666666,8.49,0.475,6.7,0.34892787524366475
5.36,7.46,7.39,7,72.1,8.06,2.9,16.28,0,6,3,68.3,8.0,3.9,10.0,1.0,7.0,21,0.9,1.05,4.31,2,4.6,0.6,4.0,21.2,0,0.9325,0.7893772893772893,0.6100000000000003,0.8,-0.6100000000000003,7.958057395143487,13.86,25.034722222222218,0.86,0.48217171173112144,5.563888888888889,8.666666666666666,8.879999999999999,0.225,0.0,0.23809523809523814
8.66,5.85,7.47,5,55.2,11.9,2.27,6.61,0,7,2,65.7,7.6,3.4,9.9,1.0,5.2,21,0.0,3.29,5.37,3,6.0,-0.6,0.8,21.9,0,0.975,0.613013698630137,0.5300000000000002,0.76,-0.31799999999999995,4.279069767441861,16.44,50.77529566360053,1.2,0.3790087463556851,5.0249999999999995,8.033333333333333,9.92,0.0,0.0,0.6014625228519196
6.15,6.18,8.55,5,88.4,7.49,3.42,15.84,1,5,5,47.2,6.9,3.0,10.0,1.2,7.1,14,0.8,2.37,3.78,1,3.0,0.4,0.2,10.9,0,1.03,0.6048,0.0,0.6900000000000001,0.0,10.412249705535926,14.33,26.247030878859857,0.5,0.4214594225960446,5.277777777777778,8.633333333333333,8.665,0.2,0.0,0.6108247422680413
5.05,5.12,9.94,5,44.6,12.07,4.88,9.33,1,5,5,56.4,8.1,2.0,10.0,1.0,7.9,15,1.1,1.25,3.8,1,2.6,1.3,2.2,27.8,0,0.8533333333333334,0.7378640776699029,0.0,0.8099999999999999,-0.0,3.4123947972456006,21.83,21.58760890609874,0.45999999999999996,0.39024390243902435,5.933333333333334,8.966666666666667,11.915,0.275,0.0,0.32051282051282054
6.21,5.56,8.51,6,67.7,7.05,6.69,10.79,2,4,5,47.2,7.5,1.5,10.0,1.3,7.3,20,1.0,2.21,4.0,1,3.9,0.4,0.3,17.6,0,0.7942857142857143,0.6339144215530904,0.0,0.75,-0.0,8.409937888198757,20.43,22.968617472434268,0.5900000000000001,0.3781455452278395,5.477777777777778,8.666666666666666,10.965,0.25,0.0,0.5390243902439025
7.79,6.21,8.4,7,54.4,6.96,0.0,13.77,1,7,2,53.8,7.6,2.3,10.0,2.3,8.4,21,1.7,2.52,5.27,3,2.0,0.2,1.2,22.8,0,0.77625,0.6679340937896071,0.0,0.76,-0.0,6.834170854271357,6.96,25.781990521327014,0.8,0.4223532078893675,4.694444444444444,8.700000000000001,4.63,0.425,0.0,0.46927374301675984
5.03,6.27,9.86,5,94.0,6.1,1.95,15.68,0,6,3,73.6,8.8,2.6,10.0,1.9,9.9,9,1.5,1.22,3.81,2,4.5,-1.8,0.8,7.2,0,1.045,0.7426900584795322,0.0,0.8800000000000001,-0.0,13.23943661971831,10.0,33.81294964028777,0.85,0.4855446566855962,5.977777777777778,9.333333333333334,6.3,0.375,8.8,0.31202046035805625
7.52,7.55,7.46,6,63.4,8.49,1.14,3.74,2,5,5,70.1,8.7,2.5,9.3,2.0,8.4,21,0.3,1.7,5.82,3,5.9,1.0,3.8,14.4,0,1.0785714285714285,0.7637795275590552,0.54,0.8699999999999999,-0.9179999999999997,6.6807165437302425,10.77,66.87763713080169,1.19,0.49116339585818064,6.513888888888888,8.566666666666666,6.635,0.075,0.0,0.28716216216216217
6.31,6.69,9.52,7,87.5,7.52,1.69,19.81,1,6,3,84.3,9.6,2.6,10.0,3.1,9.4,10,1.8,1.1,5.21,1,2.8,-0.0,4.4,12.3,0,0.83625,0.8127925117004681,0.0,0.96,-0.0,10.269953051643194,10.899999999999999,25.228255646323884,0.48,0.5116634799235181,6.541666666666667,8.766666666666667,6.749999999999999,0.45,0.0,0.20715630885122413
5.31,7.14,7.04,5,84.7,6.9,1.04,7.53,0,6,3,88.0,7.1,3.2,10.0,3.4,8.1,20,1.1,1.09,4.22,1,5.3,-0.6,3.9,7.3,0,1.19,0.7800369685767099,0.96,0.71,-0.09599999999999966,10.721518987341772,8.98,59.57796014067995,0.73,0.46084337349397586,5.811111111111111,8.233333333333333,6.09,0.275,0.0,0.2523148148148149
8.61,6.14,8.6,4,69.2,1.91,1.94,7.19,0,6,3,70.1,10.0,3.8,10.0,1.0,6.7,14,1.3,2.89,5.73,3,4.6,0.1,1.2,12.0,0,1.228,0.6578645235361654,0.0,1.0,-0.0,23.780068728522338,5.79,50.69597069597069,1.06,0.43143225202014285,6.280555555555555,8.566666666666666,4.795,0.325,0.0,0.4957118353344769
6.66,5.26,7.41,5,88.1,10.05,2.08,17.55,2,7,5,42.2,7.5,3.4,10.0,1.0,7.0,21,1.5,1.36,5.3,2,6.0,-1.8,0.0,5.9,0,0.8766666666666666,0.7840236686390533,0.5899999999999999,0.75,-0.29499999999999993,7.972850678733031,14.21,33.24528301886792,1.0,0.33109525807805285,5.338888888888889,8.666666666666666,8.805,0.375,0.0,0.2518518518518519
4.71,6.55,8.81,6,69.5,2.94,3.55,11.87,0,4,3,34.1,8.3,1.4,10.0,3.7,7.3,10,1.9,1.17,3.54,2,2.4,-0.4,2.2,14.7,0,0.9357142857142857,0.735966735966736,0.0,0.8300000000000001,-0.0,17.639593908629443,10.04,21.6006216006216,0.64,0.44796534822751627,4.7138888888888895,7.866666666666667,5.72,0.475,0.0,0.3214285714285714
5.36,5.47,8.15,6,61.7,6.51,0.0,11.91,1,4,4,53.9,7.8,1.7,10.0,2.6,7.5,14,1.3,1.48,3.88,1,3.0,-0.6,2.0,12.7,0,0.7814285714285714,0.7106227106227107,0.0,0.78,-0.0,8.215712383488682,6.51,19.11696359411309,0.5,0.36584550217367073,5.430555555555556,8.299999999999999,4.1049999999999995,0.325,0.0,0.37185929648241206
6.59,7.87,7.08,6,55.7,5.2,3.8,0.0,2,7,5,82.2,8.2,2.4,9.5,1.0,8.9,9,0.2,2.02,4.57,1,3.9,0.7,5.8,15.4,0,1.1242857142857143,0.6831091180866966,0.9199999999999999,0.82,-1.1039999999999992,8.983870967741936,12.8,389.90000000000003,0.5900000000000001,0.5061093247588424,6.683333333333334,9.133333333333333,7.6000000000000005,0.05,8.2,0.43254817987152033
4.28,6.35,8.89,5,57.9,5.59,3.9,13.09,2,4,4,76.8,7.9,2.9,10.0,4.7,6.5,10,1.3,0.45,3.83,2,4.5,1.5,2.1,19.9,0,1.0583333333333333,0.8744292237442923,0.0,0.79,-0.0,8.786039453717754,13.39,16.437189496096522,0.85,0.45914678235719447,6.1000000000000005,7.266666666666667,8.145,0.325,0.0,0.11450381679389313
6.95,6.6,8.99,3,74.2,4.04,4.9,9.13,1,5,4,34.4,7.8,4.3,10.0,1.0,6.7,15,1.5,1.38,5.58,2,3.8,1.6,1.1,21.7,0,1.65,0.7914893617021277,0.0,0.78,-0.0,14.722222222222223,13.84,36.6238894373149,0.78,0.4571692449780651,4.888888888888889,8.566666666666666,9.07,0.375,0.0,0.24295774647887322
6.71,5.12,7.45,4,82.6,9.34,0.0,0.0,1,7,3,77.1,8.0,3.8,10.0,3.5,10.0,9,1.3,1.76,4.95,2,3.9,-1.9,1.8,8.8,0,1.024,0.7268722466960353,0.5499999999999998,0.8,-0.5499999999999998,7.9883945841392645,9.34,578.1999999999999,0.79,0.3354077956108745,5.808333333333334,8.833333333333334,6.57,0.325,8.0,0.34851485148514855
8.69,4.21,8.91,5,66.9,7.75,0.0,11.58,2,5,3,38.8,7.5,3.1,10.0,2.1,8.5,9,1.0,2.48,6.21,1,3.1,-0.8,0.0,16.0,0,0.7016666666666667,0.7064846416382253,0.0,0.75,-0.0,7.645714285714287,7.750000000000001,26.589825119236885,0.51,0.2914839603046388,4.5777777777777775,8.799999999999999,5.425000000000001,0.25,7.5,0.39302694136291605
5.89,7.59,7.37,7,73.4,6.74,5.32,15.75,2,7,3,35.1,7.4,3.9,8.9,1.0,6.9,14,1.6,1.71,4.18,3,2.0,0.6,3.5,22.8,0,0.94875,0.6978297161936561,0.6299999999999999,0.74,-0.25200000000000017,9.483204134366925,17.380000000000003,30.674626865671645,0.8,0.4730445621689,4.441666666666667,8.266666666666667,10.64,0.4,0.0,0.3995327102803739
5.27,6.34,8.19,8,69.6,0.39,3.54,7.26,0,5,4,73.3,8.5,1.3,10.0,1.0,7.1,14,0.3,1.27,4.0,1,2.4,-1.9,1.8,17.0,0,0.7044444444444444,0.7448789571694601,0.0,0.85,-0.0,50.07194244604316,7.47,42.13075060532688,0.44000000000000006,0.4345938535359305,6.202777777777778,8.700000000000001,4.385,0.075,0.0,0.30975609756097566
8.17,4.05,7.68,4,63.3,1.93,7.16,11.17,2,7,2,69.3,7.6,2.3,10.0,5.2,6.2,20,1.2,1.03,7.15,1,4.4,-0.4,0.6,17.0,0,0.8099999999999999,0.8645707376058042,0.3200000000000003,0.76,-0.19200000000000006,21.604095563139932,16.25,36.40920295809367,0.64,0.2670623145400593,5.125,7.0,9.275,0.3,0.0,0.14206896551724138
8.98,5.99,8.12,4,72.4,8.27,4.22,5.43,2,7,3,44.9,9.3,3.3,9.6,3.2,7.0,10,1.2,1.36,7.62,2,2.4,-0.2,1.0,17.3,0,1.198,0.8392070484581498,0.0,0.93,-0.0,7.810140237324704,16.71,78.8180404354588,0.64,0.3958585747329001,5.347222222222222,7.8,10.005,0.3,0.0,0.1761658031088083
7.36,7.73,8.22,7,70.9,5.58,2.81,14.18,1,5,4,61.6,6.9,3.6,9.5,1.9,9.4,20,0.1,1.53,5.83,1,3.4,-1.0,3.7,16.1,0,0.96625,0.7815013404825737,0.0,0.6900000000000001,0.0,10.775075987841946,11.200000000000001,23.353096179183137,0.54,0.5239493899683688,5.344444444444445,9.0,7.4,0.025,0.0,0.2580101180438449
6.42,6.58,8.61,5,74.4,3.05,4.06,6.0,1,6,4,28.4,8.7,1.6,10.0,2.1,8.4,9,0.3,1.75,4.67,1,5.4,1.7,2.6,8.8,0,1.0966666666666667,0.7162576687116565,0.0,0.8699999999999999,-0.0,18.370370370370374,11.169999999999998,63.77142857142858,0.74,0.44111731843575414,5.022222222222222,8.766666666666667,6.384999999999999,0.075,8.7,0.3668763102725367
6.63,5.56,9.7,8,82.8,2.87,4.71,8.06,1,6,4,29.3,7.8,1.4,10.0,3.4,8.7,15,1.3,0.78,5.85,3,5.0,0.5,2.4,17.1,0,0.6177777777777778,0.8692421991084696,0.0,0.78,-0.0,21.3953488372093,12.29,54.834437086092706,1.1,0.4025582237239049,4.747222222222223,8.433333333333332,6.845,0.325,0.0,0.13109243697478995
6.39,6.66,7.9,3,51.2,3.36,3.78,2.34,2,6,5,36.1,7.6,3.1,9.7,2.8,5.9,14,1.0,2.49,3.9,3,3.7,-0.1,4.6,18.2,0,1.665,0.600924499229584,0.09999999999999964,0.76,-0.05999999999999975,11.743119266055048,10.92,91.97604790419163,0.97,0.42972362619636517,5.2027777777777775,7.6000000000000005,7.01,0.25,0.0,0.6225
7.5,4.8,7.3,4,53.6,6.4,3.33,2.0,2,5,3,103.1,5.7,2.5,10.0,1.1,9.1,10,1.5,1.64,5.86,2,3.6,1.8,2.3,21.9,0,0.96,0.7710526315789474,0.7000000000000002,0.5700000000000001,0.9100000000000001,7.243243243243243,13.06,89.33333333333333,0.76,0.32039158972076986,5.763888888888888,9.333333333333334,7.78,0.375,0.0,0.2751677852348993
7.84,4.2,8.04,5,77.9,2.06,0.34,4.62,1,6,2,44.0,8.8,2.3,10.0,1.8,9.4,21,0.9,2.67,5.17,3,2.0,1.8,0.0,6.0,0,0.7000000000000001,0.6511335012594459,0.0,0.8800000000000001,-0.0,25.457516339869283,2.74,83.16725978647688,0.8,0.27583187390542907,4.822222222222222,9.200000000000001,2.52,0.225,0.0,0.506641366223909
