screen_time_hours,work_hours,sleep_hours,break_frequency,typing_speed_wpm,backspace_rate,pause_frequency,app_switch_rate,usage_type,focus_session_count,hydration_level,physical_activity,cognitive_load_score,burnout_level
8.3,2.66,8.34,6,44.8,16.04,3.91,20.72,1,8,3,79.1,19.5,0
2.5,1.76,5.33,3,81.2,8.4,7.89,20.75,0,5,4,107.9,14.5,0
15.66,8.34,3.06,3,69.4,21.49,4.37,27.42,1,7,2,72.2,22.2,2
13.36,8.22,3.77,0,33.5,3.82,12.44,16.17,2,5,4,28.9,26.6,2
14.42,8.1,4.72,6,49.3,14.96,7.35,37.79,2,6,4,6.5,25.1,2
5.77,3.57,7.37,1,80.9,10.23,8.59,15.17,0,5,3,91.0,19.0,1
3.48,1.38,3.56,8,48.4,6.66,6.7,17.59,2,0,4,11.9,13.6,1
4.86,3.14,7.4,6,84.7,0.0,8.33,20.66,1,5,4,89.5,0.2,0
4.08,1.94,8.26,4,69.2,9.52,3.01,12.14,0,5,5,0.2,2.0,0
7.43,3.59,8.25,2,81.3,16.26,9.77,22.65,0,1,3,32.4,27.7,1
3.08,1.12,5.01,9,73.4,9.74,2.84,17.91,2,6,1,10.6,0.0,0
12.3,11.98,8.6,0,63.8,12.2,10.84,17.57,1,6,1,114.0,18.8,1
15.72,2.82,7.2,5,53.3,12.27,3.25,2.24,0,2,5,101.0,5.8,1
8.41,4.58,3.8,3,89.9,9.79,3.78,12.23,0,8,4,78.8,0.0,1
5.66,2.15,8.44,7,68.1,6.87,2.29,21.13,2,3,3,7.5,6.1,0
6.86,6.28,3.13,7,44.7,12.14,7.14,24.44,1,8,5,117.8,18.3,1
4.77,3.13,5.78,8,95.0,13.9,5.53,20.28,2,0,1,117.7,2.4,0
9.6,7.81,6.29,1,54.0,9.57,4.8,31.08,0,2,5,89.9,13.1,1
3.57,1.91,8.87,2,48.5,4.74,7.86,18.85,2,5,5,79.2,13.5,0
15.25,7.16,7.5,0,29.8,12.32,5.41,40.54,0,5,4,54.2,26.9,1
8.18,2.4,4.12,7,92.6,13.41,3.18,25.25,0,7,2,19.0,7.3,1
6.43,5.66,8.44,1,67.4,8.58,9.57,8.64,0,4,4,95.8,13.4,1
6.48,6.41,5.91,4,71.2,7.22,5.82,17.86,1,0,4,86.3,10.7,1
14.01,10.01,6.24,2,84.6,14.94,3.47,18.28,2,5,3,105.6,7.5,1
3.58,1.23,7.31,2,69.0,5.5,7.82,27.17,0,5,1,101.0,13.7,0
10.88,2.25,7.06,1,25.9,12.45,7.08,11.98,0,5,5,4.0,19.8,1
15.14,10.58,7.6,2,80.0,13.95,2.29,3.58,0,3,5,65.6,0.9,1
3.55,2.08,3.25,7,99.9,3.99,6.95,18.96,0,6,1,36.6,4.2,1
14.22,2.24,7.22,3,38.0,10.9,6.87,2.07,0,2,1,36.0,24.7,1
14.49,3.04,3.47,0,53.0,9.51,10.29,21.87,0,3,5,71.9,27.3,2
13.61,10.67,6.43,6,51.2,10.4,9.66,21.84,1,5,5,75.8,27.6,2
5.32,3.22,3.63,5,93.8,3.94,5.82,24.84,2,7,1,0.4,0.0,1
14.7,3.63,5.82,8,53.8,7.39,2.21,9.64,0,5,1,0.9,0.5,1
13.24,7.29,6.08,10,39.3,15.03,6.38,25.64,0,6,1,3.6,26.3,1
8.31,7.79,3.99,7,61.4,11.19,1.39,27.16,1,6,4,98.5,5.1,1
11.61,2.21,5.3,3,43.6,8.84,6.0,13.65,0,8,2,43.4,15.9,1
10.91,10.05,6.68,2,31.7,10.89,6.71,23.34,2,2,3,58.3,24.8,1
3.72,2.52,5.06,6,49.3,5.52,2.34,23.66,2,8,5,103.4,8.7,0
7.38,3.87,6.48,8,47.2,13.37,9.72,26.24,1,0,2,20.0,28.5,1
14.46,4.8,3.93,9,58.5,11.39,0.19,13.55,1,5,5,63.7,7.3,1
9.84,1.93,4.0,1,36.7,9.94,3.07,19.12,1,5,3,46.6,20.4,1
6.05,5.54,3.7,9,69.0,7.97,2.88,15.76,0,3,1,46.3,0.0,1
4.16,2.75,6.25,5,95.6,5.21,2.04,19.45,0,4,4,28.2,0.0,0
4.31,2.93,9.0,1,69.6,14.99,0.99,23.97,1,4,4,102.3,8.1,0
3.85,2.69,6.59,5,93.7,5.36,5.41,17.25,1,3,1,105.3,0.1,0
8.77,7.71,6.53,9,56.7,17.13,8.34,21.5,1,2,2,87.1,30.0,1
8.21,5.34,6.55,6,53.4,8.29,5.0,33.03,2,6,2,57.2,19.6,1
11.7,2.44,4.8,1,79.8,11.41,8.16,3.48,0,4,5,90.4,15.5,1
12.73,10.31,6.68,7,74.7,6.85,13.22,21.28,0,1,5,114.6,23.6,1
3.08,2.04,7.77,5,36.3,3.49,2.1,7.48,0,7,3,2.6,5.0,0
9.69,2.9,3.2,2,56.4,10.58,10.07,24.91,0,3,4,81.9,21.2,1
13.52,9.84,6.32,3,71.4,4.68,4.67,11.73,0,1,3,32.6,1.5,1
4.65,3.86,7.29,5,47.9,3.85,2.98,22.57,2,0,3,32.4,10.3,0
13.05,10.81,5.6,0,78.3,12.89,7.28,10.56,0,8,2,16.7,10.9,2
4.56,1.99,3.78,3,58.9,6.14,3.08,26.12,2,4,4,103.9,6.8,1
10.88,8.62,3.02,6,56.9,11.64,8.25,15.89,2,5,1,95.5,19.3,2
3.76,3.03,8.85,4,64.0,7.5,5.05,17.51,1,0,2,65.3,6.2,0
5.39,5.0,8.03,0,52.0,6.93,12.54,21.28,0,7,5,55.7,29.4,1
11.49,4.27,7.64,0,91.0,13.11,4.02,15.41,1,4,1,92.8,5.1,1
7.2,1.01,4.8,3,92.9,16.38,5.22,29.23,1,7,5,47.8,11.4,1
5.2,2.03,5.9,6,85.6,9.33,6.93,35.85,1,5,1,24.6,19.0,1
14.55,10.32,4.89,2,65.1,18.58,3.39,21.79,0,0,4,40.5,22.4,2
2.85,2.28,7.14,1,72.4,5.8,4.6,19.68,0,4,5,74.5,5.6,0
8.42,5.16,8.18,7,40.4,10.69,5.49,17.65,0,4,1,110.3,15.9,0
2.18,1.02,7.98,10,84.5,5.6,3.83,18.21,0,7,4,29.7,4.4,0
4.28,2.85,7.63,5,87.4,12.22,8.76,21.87,1,4,2,38.6,18.2,0
3.34,2.0,3.18,2,57.5,0.81,11.17,22.54,2,3,5,3.9,15.6,1
5.86,4.02,8.95,3,60.9,10.91,1.75,25.67,1,3,5,86.3,14.5,0
6.57,5.68,3.86,6,94.7,11.97,5.12,37.09,2,1,4,24.5,5.7,1
10.31,1.31,6.82,10,74.8,10.95,5.5,18.23,0,3,2,92.9,8.1,1
9.22,4.81,3.27,3,37.6,7.66,3.22,20.27,1,7,5,36.5,7.9,1
12.39,10.33,5.54,1,72.0,7.5,5.82,18.41,2,5,4,118.2,14.2,2
10.27,7.13,3.47,9,43.6,15.74,7.89,12.98,2,3,1,15.6,26.5,2
11.92,2.88,8.83,7,36.9,14.73,3.56,11.32,0,3,4,18.9,15.2,1
11.39,5.53,6.3,0,42.5,14.09,4.58,14.43,0,3,3,1.4,16.5,1
11.87,9.88,6.28,0,53.1,3.14,8.03,17.58,1,8,4,81.3,17.8,1
13.43,6.52,3.43,7,76.3,12.12,3.77,21.03,2,0,1,2.4,6.1,1
7.76,7.32,5.58,4,80.8,2.05,2.65,24.89,0,1,4,117.8,0.4,1
3.63,3.05,7.71,7,59.4,5.74,5.88,25.31,2,8,5,22.8,13.5,0
9.28,1.61,6.63,1,54.3,4.49,4.55,23.17,1,6,3,9.1,9.8,1
3.29,2.37,6.74,1,46.9,10.7,0.0,22.41,0,3,3,71.7,7.9,0
10.23,7.47,7.08,0,64.9,3.62,5.71,18.98,0,5,1,59.8,11.6,1
14.46,1.93,7.84,3,66.6,11.88,9.08,30.32,1,1,4,24.5,25.1,1
2.7,2.55,3.18,0,64.8,5.15,9.41,22.98,0,1,2,106.2,7.0,1
5.97,4.91,5.38,5,80.5,8.13,7.32,23.33,2,5,3,64.6,5.6,1
14.53,8.33,7.72,4,80.6,14.01,16.08,19.58,1,4,4,50.3,32.6,1
10.38,2.89,6.54,6,58.2,15.97,0.9,21.51,0,5,5,19.3,11.3,1
13.4,8.54,3.66,4,90.0,3.76,8.93,8.07,0,3,1,99.4,2.2,2
13.01,7.95,5.24,9,77.4,8.1,6.71,48.88,2,5,1,103.1,19.0,1
14.02,9.23,5.64,5,59.5,9.46,5.9,0.0,0,0,5,86.2,15.8,1
4.26,1.27,3.11,10,94.5,3.6,1.26,26.68,2,6,3,40.3,0.0,1
15.81,5.56,7.52,0,57.8,15.04,0.0,20.03,1,5,1,75.8,7.4,1
10.48,2.11,5.02,7,47.7,9.3,4.55,8.41,1,4,1,2.2,6.6,1
10.8,7.75,4.52,8,71.1,16.9,5.32,27.69,2,2,1,63.8,18.1,1
7.66,4.23,3.08,8,89.4,12.59,6.56,25.35,2,3,1,117.8,0.0,1
15.85,3.55,8.66,9,27.2,7.04,4.3,10.06,0,3,3,78.8,9.6,1
8.78,1.04,7.83,7,40.7,15.21,6.23,26.31,1,6,2,91.0,31.6,0
11.27,4.56,5.34,9,83.5,14.92,5.74,32.53,2,5,2,36.8,12.6,1
7.41,4.77,4.11,10,94.0,12.15,11.46,36.37,2,1,4,53.3,22.4,1
8.04,4.86,6.2,2,68.2,5.44,7.05,17.41,2,3,2,79.4,12.4,1
12.65,3.06,3.53,4,34.8,5.38,3.03,12.49,2,2,5,75.6,10.9,1
8.01,2.41,6.09,6,83.2,11.58,2.4,26.0,2,3,4,39.2,6.6,1
14.01,11.97,4.45,0,76.0,16.4,4.3,33.91,2,6,3,0.6,18.4,2
7.63,3.59,3.42,2,72.4,6.6,6.99,21.27,1,1,4,63.3,14.2,1
10.3,1.5,5.73,1,80.6,10.77,4.78,15.43,0,5,2,66.6,8.6,1
7.79,2.39,3.25,1,89.3,14.22,7.06,24.0,1,5,4,115.3,25.9,1
7.63,2.02,6.44,5,39.4,9.81,9.29,26.05,1,7,2,10.1,28.5,1
14.36,8.25,4.27,10,30.6,16.16,7.14,25.6,2,7,5,7.5,29.7,2
15.65,9.99,8.12,2,62.1,11.62,4.76,19.69,1,7,2,9.0,2.5,2
15.79,2.83,3.69,7,26.6,15.24,0.4,4.6,0,3,5,20.4,13.2,1
3.07,3.04,4.63,5,64.9,7.66,5.42,11.5,1,7,3,0.4,7.5,1
8.18,8.07,5.37,6,69.4,7.81,11.72,21.51,0,7,1,103.5,14.3,1
13.76,11.88,8.34,3,66.4,10.31,12.89,19.7,0,6,1,103.2,23.0,1
8.36,6.61,3.76,0,66.4,16.09,4.99,33.02,2,6,1,89.0,17.4,1
13.97,2.82,8.13,2,75.5,11.22,4.85,18.56,0,8,3,112.7,11.8,1
12.21,7.31,5.03,3,42.8,9.88,3.48,12.91,1,1,1,75.3,13.5,1
8.42,3.6,3.56,9,92.8,11.51,7.11,22.99,0,6,2,91.3,10.8,1
15.09,5.13,7.25,1,20.6,8.11,12.57,16.77,0,8,4,61.2,34.9,1
2.49,1.82,5.63,5,83.9,9.02,3.06,8.62,2,8,1,22.7,0.8,0
10.55,2.91,3.33,6,81.0,5.8,6.9,15.91,0,5,2,38.2,12.6,1
3.23,1.63,5.51,7,100.2,7.4,6.37,3.3,0,2,4,101.8,2.5,0
5.94,5.76,3.06,0,74.3,7.05,0.61,21.86,2,1,1,112.3,0.0,1
15.0,1.68,3.55,7,30.8,14.44,0.0,20.08,1,5,2,108.6,16.8,1
4.48,2.02,3.69,10,43.6,2.77,0.0,2.57,0,1,4,90.9,0.0,0
3.5,2.1,7.38,2,66.9,13.6,4.24,0.19,0,3,1,19.7,3.1,0
14.63,4.78,7.4,3,29.4,16.62,3.01,33.29,1,8,4,1.3,26.9,1
3.46,2.42,5.78,7,76.7,5.84,6.62,22.91,0,2,3,63.9,11.0,0
15.14,10.01,8.9,8,65.8,10.89,2.29,16.01,0,4,1,30.3,9.3,1
13.53,10.03,5.86,7,22.1,12.55,5.49,23.32,0,5,3,26.5,23.9,2
13.53,5.23,5.75,4,23.3,12.67,10.88,3.55,0,4,2,48.9,27.5,1
15.6,7.18,7.29,6,30.8,13.43,4.2,21.79,1,2,4,66.1,20.0,1
13.41,7.73,5.24,10,52.9,18.27,0.83,27.4,2,3,3,3.5,8.5,1
11.94,2.05,4.91,10,35.6,8.32,0.97,7.13,0,5,2,5.2,11.1,1
8.21,7.45,6.95,5,51.1,7.62,0.0,25.16,2,7,2,61.7,0.0,1
6.55,1.22,4.63,10,75.1,5.32,5.52,22.08,2,7,3,113.6,4.3,1
5.72,5.68,3.15,6,61.0,5.37,5.19,0.0,1,6,1,19.2,0.0,1
12.6,10.88,3.5,9,72.2,10.4,8.97,10.91,0,5,5,36.6,11.4,2
5.89,1.18,8.56,10,72.6,7.62,3.61,15.25,0,3,2,7.4,8.4,0
12.52,2.45,6.08,7,49.2,8.99,1.14,8.13,0,7,5,10.8,6.9,1
5.92,2.63,6.98,3,61.3,1.43,0.88,20.88,1,4,5,91.2,0.0,0
5.75,2.72,5.45,1,49.9,4.44,6.19,5.9,0,3,4,107.5,6.1,1
7.76,2.63,7.03,8,71.6,17.2,5.33,0.0,0,3,3,20.3,8.3,1
9.1,6.17,8.91,1,68.3,13.97,12.33,20.09,1,6,5,51.6,26.7,1
3.39,2.44,6.14,0,94.8,3.99,2.22,31.64,2,7,4,12.3,0.0,1
6.54,4.75,6.57,1,42.7,8.05,8.71,14.85,2,5,2,30.1,23.6,1
3.71,2.9,3.68,1,70.6,5.91,4.91,12.57,0,8,2,101.0,3.8,1
11.42,8.55,5.96,1,95.2,18.51,4.04,20.0,1,4,2,15.3,10.0,1
4.11,3.65,8.95,5,82.4,7.66,8.44,29.29,1,1,3,30.4,14.6,0
14.94,4.58,3.77,6,71.7,7.49,0.0,20.67,0,0,1,55.3,0.0,1
14.52,8.09,4.73,10,59.2,9.23,6.3,12.6,0,7,5,114.9,23.7,1
3.19,2.2,5.28,4,53.0,4.12,4.37,17.2,0,5,2,7.9,11.1,0
6.48,3.61,4.91,1,76.0,6.64,2.13,22.61,1,3,5,30.8,5.8,1
15.93,2.02,7.68,8,52.0,14.36,3.52,13.08,0,2,2,35.8,10.3,1
11.13,9.43,8.85,6,77.9,10.49,4.12,6.36,0,0,3,97.2,5.4,1
7.11,4.91,5.8,8,86.3,7.87,10.46,26.77,2,8,5,92.0,21.5,1
11.46,5.14,7.54,9,82.6,9.37,6.63,20.62,1,8,5,40.7,9.7,1
11.21,11.19,5.71,3,35.4,14.45,11.91,11.06,1,5,4,47.6,29.0,1
12.23,2.49,4.19,9,54.7,17.07,2.05,17.11,1,4,4,19.5,15.6,1
2.82,2.01,6.57,8,42.7,2.3,10.37,17.67,0,8,2,20.7,24.5,0
14.18,5.09,6.69,6,75.0,13.36,5.19,18.35,2,3,2,36.8,7.3,1
6.52,6.46,4.95,5,43.6,0.0,7.78,26.01,2,8,2,57.8,13.6,1
8.16,5.61,5.29,5,55.1,8.03,4.69,4.1,0,1,4,42.4,12.9,1
13.56,7.95,7.71,8,39.2,12.27,5.48,14.67,0,0,1,2.5,20.8,1
13.03,4.12,8.02,10,24.7,10.67,3.48,15.61,1,2,4,47.7,25.8,0
7.36,6.34,3.87,3,44.1,19.68,4.16,12.42,0,6,2,22.2,23.2,1
2.64,2.55,8.05,7,100.1,10.78,7.88,27.37,1,8,2,111.4,8.6,0
11.41,2.77,3.33,7,56.7,10.45,1.6,15.88,1,1,3,116.1,5.9,1
3.61,2.28,4.02,3,90.4,14.54,6.93,14.62,0,1,1,77.7,14.7,1
11.62,11.21,7.38,7,50.3,15.12,5.5,27.79,0,0,3,62.6,30.3,1
11.46,7.47,6.41,5,64.6,9.6,10.15,5.65,0,6,5,71.3,18.6,1
8.6,5.21,6.42,1,83.5,2.62,5.5,14.14,0,8,5,68.1,3.2,1
10.54,5.66,3.8,4,29.9,12.54,3.07,11.11,2,8,5,88.2,14.4,1
15.18,2.92,5.83,7,60.1,11.28,6.93,4.59,0,8,5,59.3,9.5,1
6.43,4.4,7.85,8,87.6,9.36,2.62,19.89,2,6,2,36.8,5.5,1
7.97,5.29,3.49,6,85.5,15.62,0.62,36.84,2,7,1,37.1,2.5,1
6.66,4.15,7.24,4,80.9,9.13,6.99,17.09,1,8,5,0.1,4.2,1
6.99,6.46,3.24,6,65.5,9.25,8.75,9.4,0,6,1,18.2,14.6,1
4.55,4.43,5.57,9,60.1,5.47,8.23,13.64,2,5,3,0.8,13.6,1
13.37,10.08,7.77,6,40.0,17.2,6.02,28.71,2,2,2,38.0,28.4,1
6.23,5.49,8.14,1,92.3,7.51,2.03,20.75,0,2,2,7.6,0.0,0
11.56,3.49,8.66,2,52.8,14.27,1.42,31.56,2,2,5,6.4,20.6,1
13.89,5.22,4.01,10,69.7,4.57,4.68,4.52,1,4,3,85.1,5.1,1
7.08,6.35,7.35,6,53.6,7.71,8.43,16.98,1,6,3,75.6,19.5,1
15.94,11.03,4.33,1,43.0,4.44,10.15,13.73,0,8,3,30.0,18.4,2
10.34,4.88,5.53,4,87.2,13.68,4.0,19.54,2,6,2,111.7,9.7,1
6.36,5.53,4.56,2,44.5,6.55,6.9,20.44,0,6,5,14.4,16.1,1
15.0,5.74,3.71,3,30.7,16.51,7.83,8.44,0,5,2,6.5,26.1,2
6.78,3.57,7.05,9,84.4,8.53,3.23,25.33,2,6,2,118.4,6.1,0
9.54,9.47,8.15,10,62.9,13.19,2.62,16.28,0,5,1,35.0,3.7,1
14.26,10.96,5.96,8,80.2,8.23,9.81,23.68,1,7,3,76.2,21.6,2
